,case,epochs,n_ants,alpha,beta,rho,init_pher,mean_time,found_cost,opt_cost,error
0,A-n32-k5,100,100,1.5,0.3,0.95,1000,31.0902,840.7085,784.0,0.07233227040816326
1,A-n33-k5,100,50,1.5,0.3,0.95,1000,17.45445,759.7473,661.0,0.14939077155824498
2,A-n33-k6,100,100,1.5,0.3,0.95,1000,39.4328,824.0234,742.0,0.1105436657681942
3,A-n34-k5,100,100,1.5,0.1,0.95,1000,36.65715,865.7229,778.0,0.1127543701799485
4,A-n36-k5,100,100,1.5,0.1,0.95,1000,37.42615,941.048,799.0,0.17778222778473096
5,A-n37-k5,100,100,1.5,0.3,0.95,1000,34.72325,827.0217,669.0,0.2362058295964127
6,A-n37-k6,100,100,1.5,0.3,0.95,1000,45.1742,1098.5397,949.0,0.15757608008429935
7,A-n38-k5,100,100,1.5,0.3,0.95,1000,41.6064,831.4388,730.0,0.1389572602739726
8,A-n39-k5,100,100,1.5,0.3,0.95,1000,42.3003,922.5199,822.0,0.12228698296836993
9,A-n39-k6,100,100,1.5,0.3,0.95,1000,47.4383,938.2681,831.0,0.12908315282791816
10,A-n44-k6,100,100,1.5,0.3,0.95,1000,54.8001,1071.6804,937.0,0.14373575240128056
11,A-n45-k6,100,100,1.5,0.1,0.95,1000,57.4604,1123.2443,944.0,0.1898774364406781
12,A-n45-k7,100,100,1.5,0.3,0.95,1000,58.953,1321.2444,1146.0,0.1529183246073298
13,A-n46-k7,100,100,1.5,0.1,0.95,1000,58.96205,1121.8012,914.0,0.2273536105032823
14,A-n48-k7,100,100,1.5,0.3,0.95,1000,64.0681,1292.9723,1073.0,0.20500680335507915
15,A-n53-k7,100,100,1.5,0.3,0.95,1000,72.03915,1230.8324,1010.0,0.2186459405940595
16,A-n54-k7,100,100,1.5,0.1,0.95,1000,72.0944,1366.4645,1167.0,0.17092073693230514
17,A-n55-k9,100,100,1.5,0.3,0.95,1000,90.30875,1286.7343,1073.0,0.19919319664492074
18,A-n60-k9,100,100,1.5,0.3,0.95,1000,95.5338,1654.2528,1354.0,0.22175243722304286
19,A-n61-k9,100,100,1.5,0.3,0.95,1000,106.98715,1261.4101,1034.0,0.21993239845261134
20,A-n62-k8,100,100,1.5,0.3,0.95,1000,90.25915,1602.115,1288.0,0.2438781055900621
21,A-n63-k10,100,100,1.5,0.3,0.95,1000,114.5476,1640.7818,1314.0,0.2486923896499238
22,A-n63-k9,100,50,1.5,0.3,0.95,1000,55.53265,1884.8819,1616.0,0.1663873143564356
23,A-n64-k9,100,100,1.5,0.3,0.95,1000,110.1165,1677.3008,1401.0,0.1972168451106353
24,A-n65-k9,100,100,1.5,0.3,0.95,1000,112.73695,1424.3889,1174.0,0.2132784497444633
25,A-n69-k9,100,50,1.5,0.3,0.95,1000,59.1424,1416.3391,1159.0,0.22203546160483167
26,A-n80-k10,100,100,1.5,0.3,0.95,1000,148.4076,2227.146,1763.0,0.2632705615428248
27,B-n31-k5,100,50,1.5,0.1,0.95,10,16.34135,714.3029,672.0,0.06295074404761912
28,B-n34-k5,100,100,1.5,0.3,0.95,1000,34.2074,830.59,788.0,0.054048223350253936
29,B-n35-k5,100,100,1.5,0.1,0.95,10,36.32685,1011.7098,955.0,0.0593819895287957
30,B-n38-k6,100,100,1.5,0.1,0.95,1000,44.6124,895.1143,805.0,0.11194322981366443
31,B-n39-k5,100,50,1.5,0.3,0.95,10,20.8248,634.6591,549.0,0.15602750455373404
32,B-n41-k6,100,100,1.5,0.3,0.95,1000,49.2865,892.5873,829.0,0.07670361881785293
33,B-n43-k6,100,100,1.5,0.1,0.95,1000,47.91175,820.7286,742.0,0.10610323450134773
34,B-n44-k7,100,50,1.5,0.1,0.95,1000,28.34285,1006.9213,909.0,0.10772420242024204
35,B-n45-k5,100,100,1.5,0.3,0.95,1000,48.9257,839.7059,751.0,0.11811704394141145
36,B-n45-k6,100,100,1.5,0.3,0.95,1000,57.04055,724.3774,678.0,0.06840324483775806
37,B-n50-k7,100,100,1.5,0.3,0.95,1000,62.14785,868.6793,741.0,0.17230674763832665
38,B-n50-k8,100,50,1.5,0.1,0.95,1000,35.81775,1409.6985,1312.0,0.07446532012195117
39,B-n51-k7,100,100,1.5,0.3,0.95,1000,71.9902,1059.7313,1032.0,0.026871414728682156
40,B-n52-k7,100,100,1.5,0.3,0.95,1000,70.2877,832.6004,747.0,0.11459223560910314
41,B-n56-k7,100,100,1.5,0.3,0.95,10,77.8671,873.309,707.0,0.2352319660537483
42,B-n57-k7,100,100,1.5,0.3,0.95,1000,80.5894,1235.8289,1153.0,0.07183772766695573
43,B-n57-k9,100,100,1.5,0.3,0.95,1000,91.4484,1771.8331,1598.0,0.10878166458072602
44,B-n63-k10,100,100,1.5,0.3,0.95,1000,116.1213,1747.8,1496.0,0.16831550802139028
45,B-n64-k9,100,100,1.5,0.1,0.95,1000,111.46845,990.3758,861.0,0.15026225319396058
46,B-n66-k9,100,100,1.5,0.3,0.95,1000,116.3869,1477.4993,1316.0,0.1227198328267476
47,B-n67-k10,100,100,1.5,0.3,0.95,10,126.58145,1250.5999,1032.0,0.2118216085271316
48,B-n68-k9,100,100,1.5,0.3,0.95,10,118.7391,1479.7776,1272.0,0.1633471698113207
49,B-n78-k10,100,100,1.5,0.3,0.95,1000,142.44425,1511.2385,1221.0,0.2377055692055692
