,case,epochs,n_ants,alpha,beta,rho,init_pher,mean_time,found_cost,opt_cost,error
0,A-n32-k5,100,50,1.5,0.1,0.95,10,16.2909,1217.2346,784.0,0.5525951530612245
1,A-n32-k5,100,50,1.5,0.1,0.95,1000,15.9055,854.2871,784.0,0.0896519132653062
2,A-n32-k5,100,50,1.5,0.3,0.95,10,16.36145,1165.6449,784.0,0.48679196428571436
3,A-n32-k5,100,50,1.5,0.3,0.95,1000,15.93045,848.6192,784.0,0.08242244897959172
4,A-n32-k5,100,100,1.5,0.1,0.95,10,32.68715,1169.8616,784.0,0.4921704081632652
5,A-n32-k5,100,100,1.5,0.1,0.95,1000,31.0061,873.4486,784.0,0.1140926020408164
6,A-n32-k5,100,100,1.5,0.3,0.95,10,32.7516,1097.401,784.0,0.3997461734693879
7,A-n32-k5,100,100,1.5,0.3,0.95,1000,31.0902,840.7085,784.0,0.07233227040816326
8,A-n33-k5,100,50,1.5,0.1,0.95,10,17.77115,1019.7408,661.0,0.5427243570347957
9,A-n33-k5,100,50,1.5,0.1,0.95,1000,17.47745,809.0708,661.0,0.22401028744326767
10,A-n33-k5,100,50,1.5,0.3,0.95,10,17.84825,936.1664,661.0,0.4162880484114977
11,A-n33-k5,100,50,1.5,0.3,0.95,1000,17.45445,759.7473,661.0,0.14939077155824498
12,A-n33-k5,100,100,1.5,0.1,0.95,10,35.5368,1001.2296,661.0,0.5147195158850226
13,A-n33-k5,100,100,1.5,0.1,0.95,1000,34.67765,766.1633,661.0,0.1590972768532528
14,A-n33-k5,100,100,1.5,0.3,0.95,10,35.63135,981.7359,661.0,0.4852282904689864
15,A-n33-k5,100,100,1.5,0.3,0.95,1000,34.50515,800.2726,661.0,0.21069984871406966
16,A-n33-k6,100,50,1.5,0.1,0.95,10,20.21525,1042.1332,742.0,0.40449218328840963
17,A-n33-k6,100,50,1.5,0.1,0.95,1000,20.19475,826.6919,742.0,0.11414002695417791
18,A-n33-k6,100,50,1.5,0.3,0.95,10,20.19455,921.6913,742.0,0.24217156334231804
19,A-n33-k6,100,50,1.5,0.3,0.95,1000,20.0002,848.1846,742.0,0.1431059299191375
20,A-n33-k6,100,100,1.5,0.1,0.95,10,40.2224,1010.4936,742.0,0.3618512129380054
21,A-n33-k6,100,100,1.5,0.1,0.95,1000,39.95545,849.9003,742.0,0.14541819407008094
22,A-n33-k6,100,100,1.5,0.3,0.95,10,40.29385,990.3082,742.0,0.3346471698113209
23,A-n33-k6,100,100,1.5,0.3,0.95,1000,39.4328,824.0234,742.0,0.11054366576819419
24,A-n34-k5,100,50,1.5,0.1,0.95,10,19.08005,1155.1694,778.0,0.48479357326478145
25,A-n34-k5,100,50,1.5,0.1,0.95,1000,18.63115,918.2786,778.0,0.18030668380462722
26,A-n34-k5,100,50,1.5,0.3,0.95,10,18.97185,1079.9607,778.0,0.388124293059126
27,A-n34-k5,100,50,1.5,0.3,0.95,1000,18.4392,916.2971,778.0,0.17775976863753207
28,A-n34-k5,100,100,1.5,0.1,0.95,10,38.0705,1055.7508,778.0,0.3570061696658098
29,A-n34-k5,100,100,1.5,0.1,0.95,1000,36.65715,865.7229,778.0,0.1127543701799485
30,A-n34-k5,100,100,1.5,0.3,0.95,10,38.08725,1037.1229,778.0,0.3330628534704372
31,A-n34-k5,100,100,1.5,0.3,0.95,1000,36.5091,907.0359,778.0,0.16585591259640098
32,A-n36-k5,100,50,1.5,0.1,0.95,10,19.89385,1161.5729,799.0,0.45378335419274074
33,A-n36-k5,100,50,1.5,0.1,0.95,1000,19.27425,988.0881,799.0,0.23665594493116404
34,A-n36-k5,100,50,1.5,0.3,0.95,10,19.97585,1152.1456,799.0,0.4419844806007509
35,A-n36-k5,100,50,1.5,0.3,0.95,1000,19.25495,1000.3718,799.0,0.25202978723404246
36,A-n36-k5,100,100,1.5,0.1,0.95,10,39.89505,1196.737,799.0,0.49779349186483124
37,A-n36-k5,100,100,1.5,0.1,0.95,1000,37.42615,941.048,799.0,0.17778222778473096
38,A-n36-k5,100,100,1.5,0.3,0.95,10,39.89445,1155.027,799.0,0.4455907384230289
39,A-n36-k5,100,100,1.5,0.3,0.95,1000,37.6578,961.2742,799.0,0.2030966207759699
40,A-n37-k5,100,50,1.5,0.1,0.95,10,18.09955,1172.6046,669.0,0.7527721973094168
41,A-n37-k5,100,50,1.5,0.1,0.95,1000,17.71935,878.0216,669.0,0.3124388639760838
42,A-n37-k5,100,50,1.5,0.3,0.95,10,18.123,1083.7439,669.0,0.6199460388639759
43,A-n37-k5,100,50,1.5,0.3,0.95,1000,17.6979,868.1295,669.0,0.2976524663677129
44,A-n37-k5,100,100,1.5,0.1,0.95,10,36.4028,1099.6797,669.0,0.6437663677130043
45,A-n37-k5,100,100,1.5,0.1,0.95,1000,34.76485,830.6707,669.0,0.24166023916292967
46,A-n37-k5,100,100,1.5,0.3,0.95,10,36.3911,1101.9359,669.0,0.6471388639760836
47,A-n37-k5,100,100,1.5,0.3,0.95,1000,34.72325,827.0217,669.0,0.23620582959641268
48,A-n37-k6,100,50,1.5,0.1,0.95,10,23.9572,1491.6286,949.0,0.5717898840885143
49,A-n37-k6,100,50,1.5,0.1,0.95,1000,23.2075,1141.9262,949.0,0.20329420442571133
50,A-n37-k6,100,50,1.5,0.3,0.95,10,23.8419,1430.6731,949.0,0.507558587987355
51,A-n37-k6,100,50,1.5,0.3,0.95,1000,22.7919,1152.964,949.0,0.21492518440463648
52,A-n37-k6,100,100,1.5,0.1,0.95,10,48.33005,1398.2121,949.0,0.4733531085353002
53,A-n37-k6,100,100,1.5,0.1,0.95,1000,45.623000000000005,1143.733,949.0,0.20519810326659638
54,A-n37-k6,100,100,1.5,0.3,0.95,10,47.6923,1382.2246,949.0,0.4565064278187565
55,A-n37-k6,100,100,1.5,0.3,0.95,1000,45.1742,1098.5397,949.0,0.15757608008429935
56,A-n38-k5,100,50,1.5,0.1,0.95,10,21.89705,1171.7495,730.0,0.605136301369863
57,A-n38-k5,100,50,1.5,0.1,0.95,1000,21.0529,870.2317,730.0,0.19209821917808223
58,A-n38-k5,100,50,1.5,0.3,0.95,10,21.95675,1161.46,730.0,0.5910410958904111
59,A-n38-k5,100,50,1.5,0.3,0.95,1000,21.15085,879.5283,730.0,0.20483328767123288
60,A-n38-k5,100,100,1.5,0.1,0.95,10,44.28645,1136.3782,730.0,0.5566824657534248
61,A-n38-k5,100,100,1.5,0.1,0.95,1000,41.6718,896.0581,730.0,0.2274768493150685
62,A-n38-k5,100,100,1.5,0.3,0.95,10,44.0978,1153.3974,730.0,0.5799964383561644
63,A-n38-k5,100,100,1.5,0.3,0.95,1000,41.6064,831.4388,730.0,0.1389572602739726
64,A-n39-k5,100,50,1.5,0.1,0.95,10,21.92785,1188.2383,822.0,0.4455453771289537
65,A-n39-k5,100,50,1.5,0.1,0.95,1000,21.4033,966.6614,822.0,0.17598710462287093
66,A-n39-k5,100,50,1.5,0.3,0.95,10,22.0693,1294.5861,822.0,0.5749222627737227
67,A-n39-k5,100,50,1.5,0.3,0.95,1000,21.46705,957.9137,822.0,0.1653451338199512
68,A-n39-k5,100,100,1.5,0.1,0.95,10,44.3206,1287.6903,822.0,0.5665332116788322
